BitcoinBullets;ðbulletbotv20ð 02102023 154500 utc âââââ bitcoin bulletsâ market analysis february 10 2023 âââââ âªïtechnical 4h btc broken key mid term support 22800 decent short term volume created wave seller entering market pushing btc 21700 trading waiting next increase volume next confirmation could see 21300 retest next couple hour expect short term bounce âªïsentiment short mid term sentiment turned considerably bearish last 48 hour specially coin imploding showing 510 drop long term sentiment remains neutral looking higher volume strength move fo confirmation either 20500 bear 24000 bull âªïwrapup vip vip content btc daily range ðupper limit vip content ðlower limit vip content 15 based moving average volatility openend point ðscalp entry vip advanced trader moderatehigh risk ðµlong vip content ðshort vip content âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;vip news âââââ 3ac cofounder kyle davy fails respond liquidator subpoena despite twitter delivery according recent court filing kyle davy cofounder defunct cryptocurrency hedge fund three arrow capital 3ac allegedly failed respond subpoena firmâs current liquidator despite sent via twitter representative advisory company teneo state davy continues ignore obligation three arrow âââââ bitcoin bulletsâ trading;NEGATIVE
BitcoinBullets;sicilian confirmation lower time frame trade ready make u decent short term profit higher leverageðð;POSITIVE
BitcoinBullets;ðc98usdt long leverage 13x status update tp 1 0168â tp 2 0174â tp 3 0182â tp 4 0192â tp 5 0205â tp 6 0220â tp 7 0235â tp 8 0255â tp 9 028â profit 1839 3x entry order perfectly filled exploding first 9 targetsâ cheer everyoneðð âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;sent month ago vip bullet even movingðð;POSITIVE
BitcoinBullets;ðbulletbotv20ð 02092023 142500 utc âââââ bitcoin bulletsâ market analysis february 9 2023 âââââ âªïtechnical 4h multiple short mid term retests weve seen 22800 key mid term level broken downside relative volume break close managed hold last couple 4h close meaning bear could gain even momentum next day 22000 21500 next key support level bull break close 23000 still required âªïsentiment short term sentiment seen extreme level chop last couple day currently sitting one neutral spot weve seen week even though short term sentiment could become bearish bear gain momentum mid term sentiment remains bullish likely eventually get u decent bounce next 12 week âªïwrapup vip vip content btc daily range ðupper limit vip content ðlower limit vip content 15 based moving average volatility openend point ðscalp entry vip advanced trader moderatehigh risk ðµlong vip content ðshort vip content âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;vip news âââââ report korean regulator approves issuance distribution security token south koreaâs financial service commission fsc reportedly said korean investor soon able easily invest trade security token fractionalized asset according fscâs lee suyoung security token investor expected get protection provided investor conventional security âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;insider update uk bank england launch digital pound project new form money âââââ bitcoin bulletsâ trading;NEUTRAL
BitcoinBullets;ðicpusdt long leverage 13x status update tp 2 435â tp 3 455â tp 4 480â tp 5 510â tp 6 550â tp 7 600â profit 1728 3x 6 target destroyed sicilian beastâ cheer bulletsðð âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;ðbulletbotv20ð 02082023 145500 utc âââââ bitcoin bulletsâ market analysis february 8 2023 âââââ âªïtechnical 4h since initial break close 22000 18 day ago btc remained stable relatively strong deviation key level since bull attempted couple break 24000 however none eventually successful mean still range waiting stronger higher volume confirmation happen next couple week âªïsentiment short term sentiment increased last 24 hour however remains relatively neutral mid term sentiment remains neutral however seen constant decrease last 2 week considering continuation move confirmed long term sentiment still neutral waiting higher volume move shouldnt take long either âªïwrapup vip vip content btc daily range ðupper limit vip content ðlower limit vip content 15 based moving average volatility openend point ðscalp entry vip advanced trader moderatehigh risk ðµlong vip content ðshort vip content âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;vip news âââââ ftx debtor demand return fund given u politician super pac ftx debtor seeking claw back million dollar given u political action committee pac political figure confidential letter sent individual organization requesting return fund feb 28 2023 bureaucrat democratic senator joe manchin tina smith already pledged fund charity uncertain whether required law repay fund nowbankrupt ftx estate âââââ bitcoin bulletsâ trading;POSITIVE
BitcoinBullets;ðgrtusdt long leverage 13x status update tp 9 0105â tp 10 0117â tp 11 0130â profit 2893 3x another sicilian win weâre getting started 2023â cheer everyoneðð âââââ bitcoin bulletsâ trading;POSITIVE
